Customer_ID,Edad,churn_estimado,retencion_estimado,CLTV_1_anio,CLTV_2_anios,CLTV_3_anios,CLTV_4_anios,CLTV_5_anios
1,47,1,0,0,0,0,0,0
7,36,1,0,0,0,0,0,0
10,39,1,0,0,0,0,0,0
11,53,1,0,0,0,0,0,0
12,47,0,1,"1574,0186459550234","3045,0641094643906","4419,872953865669","5704,741032745368","6905,552321417984"
13,39,0,1,"537,8504672897196","1040,514455410953","1510,293883561638","1949,3400780949887","2359,6636243878397"
16,56,1,0,0,0,0,0,0
18,29,1,0,0,0,0,0,0
19,44,0,1,"9513,262083820093","18404,161227577188","26713,412763798773","34479,06840512736","41736,69049982697"
20,33,"0,17979816015455086","0,8202018398454491","1399,7549717073666","2472,7284325739056","3295,209560338461","3925,6773493390665","4408,958508686346"
22,59,1,0,0,0,0,0,0
27,43,1,0,0,0,0,0,0
28,45,1,0,0,0,0,0,0
30,28,1,0,0,0,0,0,0
31,37,1,0,0,0,0,0,0
33,71,1,0,0,0,0,0,0
38,30,1,0,0,0,0,0,0
45,38,1,0,0,0,0,0,0
48,48,"0,15255891641481023","0,8474410835851898","7063,270765864906","12657,388365379065","17087,935169337252","20596,932724871105","23376,06234240325"
49,27,1,0,0,0,0,0,0
50,39,"0,08414660200371538","0,9158533979962846","-4955,725382987845","-9197,517842376496","-12828,22815782146","-15935,890194775138","-18595,855462408857"
53,37,0,1,"3460,2803738317757","6694,187265263341","9716,53015445172","12541,149677057681","15180,981006595965"
55,43,1,0,0,0,0,0,0
57,26,"0,4054000064135326","0,5945999935864674","-992,1706333730646","-1543,5207756537238","-1849,9065616948246","-2020,1654275032574","-2114,778437332915"
59,52,1,0,0,0,0,0,0
63,38,"0,03240648497391296","0,967593515026087","3429,305147063251","6530,401802524917","9334,701814949025","11870,610699256635","14163,815363885686"
65,57,"0,08613651260277022","0,9138634873972298","8849,999038407012","16408,588743734825","22864,214115618634","28377,821887281974","33086,87312686397"
